,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,-1.0,100,2020,-0.94
2,20,-2.0,200,4020,-1.11
3,20,-1.0,300,6020,-0.76
4,20,0.0,400,8020,0.41
5,20,0.0,500,10020,0.33
6,20,0.0,600,12020,0.6
7,20,2.0,700,14020,0.65
8,20,0.0,800,16020,0.61
9,20,2.0,900,18020,0.68
10,20,0.0,1000,20020,0.71
11,20,2.0,1100,22020,0.7
12,20,1.0,1200,24020,0.91
13,20,1.0,1300,26020,0.9
14,20,0.0,1400,28020,0.92
15,20,0.0,1500,30020,0.88
16,20,2.0,1600,32020,0.89
17,20,1.0,1700,34020,0.87
18,20,1.0,1800,36020,0.89
19,20,0.0,1900,38020,0.82
20,20,1.0,2000,40020,0.9
21,20,1.0,2100,42020,1.0
22,20,2.0,2200,44020,0.94
23,20,0.0,2300,46020,0.93
24,20,1.0,2400,48020,0.96
25,20,2.0,2500,50020,1.02
26,20,2.0,2600,52020,0.88
27,20,1.0,2700,54020,0.92
28,20,0.0,2800,56020,0.87
29,20,1.0,2900,58020,0.95
30,20,2.0,3000,60020,1.0
31,20,2.0,3100,62020,0.91
32,20,0.0,3200,64020,0.9
33,20,1.0,3300,66020,0.98
34,20,1.0,3400,68020,0.85
35,20,2.0,3500,70020,1.03
36,20,1.0,3600,72020,1.06
37,20,1.0,3700,74020,0.82
38,20,0.0,3800,76020,0.97
39,20,0.0,3900,78020,0.88
40,20,0.0,4000,80020,0.92
41,20,1.0,4100,82020,0.98
42,20,0.0,4200,84020,0.88
43,20,0.0,4300,86020,0.71
44,20,0.0,4400,88020,0.86
45,20,0.0,4500,90020,1.0
46,20,2.0,4600,92020,0.9
47,20,1.0,4700,94020,1.03
48,20,0.0,4800,96020,0.94
49,20,1.0,4900,98020,0.93
50,20,0.0,5000,100020,0.89
